,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
0,Angra dos Reis,-23.0063966,-44.316326,6,4,0,2,3,3,7,12,27,21,38,46,43,32,38,30,38,71,70,59,46,58,41,22,22,19,16,13,11,6,8,6,6,4,7,4,2,0,0,2,0,2,1,9,6,1,4,4,0,9,9,0,888
1,Aperibé,-21.6211928,-42.1028167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2,Araruama,-22.8733203,-42.3428897,0,0,0,3,4,2,4,8,11,6,14,31,21,14,20,28,52,52,35,29,17,26,24,26,23,24,29,16,12,4,1,5,10,28,26,1,0,0,0,0,1,4,2,12,1,0,0,0,0,2,1,0,629
3,Areal,-22.2314922,-43.1056264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,Armação dos Búzios,-22.7597805,-41.8875267,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,3,0,2,6,2,4,4,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
5,Arraial do Cabo,-22.9662839,-42.024427,0,1,0,1,0,4,3,1,1,2,1,0,1,3,8,8,7,6,3,8,2,0,0,0,0,2,0,0,1,1,1,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
6,Barra do Piraí,-22.4703403,-43.8263256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10
7,Barra Mansa,-22.5394843,-44.1735129,2,2,0,2,1,0,1,2,1,0,2,3,5,8,4,5,5,6,2,5,1,2,3,2,1,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,74
8,Belford Roxo,-22.7667284,-43.4033603,2,0,4,10,8,14,7,15,15,14,19,13,30,47,27,36,73,52,59,46,32,61,48,46,40,42,46,43,34,51,32,19,16,19,13,11,16,4,7,3,2,3,1,7,10,5,12,19,13,5,5,1,1157
9,Bom Jardim,-22.1515328,-42.4186683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
