,City,Lat,Lng,Population,IDHM,PIB
0,Angra dos Reis,-23.0063966,-44.316326,210171,0.724,48212.88
1,Aperibé,-21.6211928,-42.1028167,12036,0.692,16603.31
2,Araruama,-22.8733203,-42.3428897,136109,0.718,27785.33
3,Areal,-22.2314922,-43.1056264,12763,0.684,28174.84
4,Armação dos Búzios,-22.7597805,-41.8875267,35060,0.728,77577.13
5,Arraial do Cabo,-22.9662839,-42.024427,30827,0.733,84241.59
6,Barra do Piraí,-22.4703403,-43.8263256,101139,0.733,21048.89
7,Barra Mansa,-22.5394843,-44.1735129,185237,0.729,29754.56
8,Belford Roxo,-22.7667284,-43.4033603,515239,0.684,15785.96
9,Bom Jardim,-22.1515328,-42.4186683,27779,0.66,25406.04
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095,37306,0.732,19644.43
11,Cabo Frio,-22.8804369,-42.0189227,234077,0.735,50871.17
12,Cachoeiras de Macacu,-22.4626861,-42.6534414,59652,0.7,19321.87
13,Cambuci,-21.5749919,-41.9107833,15521,0.691,22802.39
14,Carapebus,-22.2033,-41.6625,16859,0.713,27798.02
15,Comendador Levy Gasparian,-22.0427,-43.2083,8590,0.685,49515.11
16,Campos dos Goytacazes,-21.7545,-41.3244,514643,0.716,57329.81
17,Cantagalo,-21.982,-42.3679,20163,0.709,36184.9
18,Cardoso Moreira,-21.488285,-41.7578,12818,0.648,22923.99
19,Carmo,-21.9239,-42.6149,19161,0.696,24928.31
20,Casimiro de Abreu,-22.4849,-42.2013,45864,0.726,46662.46
21,Conceição de Macabu,-22.0849986,-41.8679947,23561,0.712,16185.92
22,Cordeiro,-22.0287681,-42.3607442,22152,0.729,18159.7
23,Duas Barras,-22.0522519,-42.5194705,11563,0.659,18671.45
24,Duque de Caxias,-22.7896225,-43.309929,929449,0.711,49295.96
25,Engenheiro Paulo de Frontin,-22.5504556,-43.6783403,14138,0.722,17968.78
26,Guapimirim,-22.5266308,-42.9790687,62225,0.698,17538.51
27,Iguaba Grande,-22.8388498,-42.2286746,29344,0.761,18939.5
28,Itaboraí,-22.7496231,-42.8557428,244416,0.693,20484.24
29,Itaguaí,-22.8629597,-43.775322,136547,0.715,59757.5
30,Italva,-21.4214056,-41.6907956,15387,0.688,21791.11
31,Itaocara,-21.6725236,-42.0798658,23211,0.713,23817.93
32,Itaperuna,-21.2048,-41.88801,104354,0.73,30000.24
33,Itatiaia,-22.4955278,-44.5633108,32312,0.737,140696.25
34,Japeri,-22.6427642,-43.6533831,106296,0.659,13711.95
35,Laje do Muriaé,-21.2082595,-42.1226959,7298,0.668,19810.21
36,Macaé,-22.3712958,-41.7866922,266136,0.764,58803.47
37,Macuco,-21.9849747,-42.2539464,5646,0.703,30308.74
38,Magé,-22.6604221,-43.0426162,247741,0.709,17355.94
39,Mangaratiba,-22.9600193,-44.04111,45941,0.753,55538.31
40,Maricá,-22.9196772,-42.8184375,167668,0.765,232761.15
41,Mendes,-22.5269113,-43.7332604,18681,0.736,18813.5
