,Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2020],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018],Renda per capita,Região Turística,Domésticos,Internacionais,Categoria,Código,Expectativa de Vida
ANGRA DOS REIS,3300100.0,angrense,FERNANDO ANTÔNIO CECILIANO JORDÃO,813.42,207044.0,205.45,96.4,0.724,9.41,1048674.52987,844589.26806,44590.88,919.03,COSTA VERDE,841279.0,157173.0,A,330010.0,75.0
APERIBE,3300159.0,aperibeense,RONALD DE CÁSSIO DAIBES MOREIRA,94.542,11901.0,107.92,96.7,0.692,14.49,44282.03729,51373.38482,15625.88,536.35,ÁGUAS DO NOROESTE,7494.0,0.0,D,330015.0,72.0
ARARUAMA,3300209.0,araruamense,LIVIA SOARES BELLO DA SILVA,638.276,134293.0,175.55,98.3,0.718,13.03,319409.47301,300538.07366,20480.15,813.51,,,,,330020.0,75.0
AREAL,3300225.0,arealense,JOSÉ AUGUSTO BERNARDES LIMA,110.724,12669.0,102.99,98.0,0.684,25.97,59613.31119,53040.68042,25200.29,673.72,CAMINHOS COLONIAIS,0.0,0.0,D,330022.0,74.0
ARMACAO DOS BUZIOS,3300233.0,buziano,ALEXANDRE DE OLIVEIRA MARTINS,70.977,34477.0,392.16,97.6,0.728,8.31,239846.23366,201183.51623,76723.42,1013.13,COSTA DO SOL,671819.0,320320.0,A,330023.0,74.0
ARRAIAL DO CABO,3300258.0,cabista,MARCELO MAGNO FELIX DOS SANTOS,152.106,30593.0,172.91,99.2,0.733,8.87,129189.89566,134584.69044,42927.02,824.2,COSTA DO SOL,260542.0,40933.0,B,330025.0,73.0
BARRA DO PIRAI,3300308.0,barrense,MARIO REIS ESTEVES,584.61,100764.0,163.7,98.7,0.733,12.5,222231.63733,201994.18884,20602.24,835.16,VALE DO CAFÉ,25342.0,935.0,B,330030.0,74.0
BARRA MANSA,3300407.0,barra-mansense,RODRIGO DRABLE COSTA,547.133,184833.0,324.94,98.4,0.729,14.76,506164.12756,464462.81593,28067.77,798.11,VALE DO CAFÉ,24183.0,656.0,C,330040.0,74.0
BELFORD ROXO,3300456.0,belford-roxense,WAGNER DOS SANTOS CARNEIRO,78.985,513118.0,6031.38,96.2,0.684,13.18,612861.74442,612697.53042,15598.12,519.99,,,,,330045.0,73.0
BOM JARDIM,3300506.0,bom-jardinense,PAULO VIEIRA DE BARROS,382.43,27616.0,65.86,97.4,0.66,14.45,91360.93363,83619.01202,24638.06,717.53,CAMINHOS DA SERRA,0.0,0.0,D,330050.0,73.0
