,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
0,Angra dos Reis,-23.0063966,-44.316326,2,4,9,8,39,72,88,194,389,501,754,431,459,629,762,454,641,624,680,319,276,136,190,135,49,62,30,7,9,4,3,0,0,0,2,3,3,3,3,3,3,7,4,3,5,6,6,1,0,0,0,0,8012
1,Aperibé,-21.6211928,-42.1028167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,2,1,2,1,0,0,21
2,Araruama,-22.8733203,-42.3428897,0,0,0,1,1,1,0,0,1,2,1,0,4,4,4,4,10,14,11,8,9,14,8,16,9,11,8,5,3,4,3,3,7,2,1,3,2,1,4,1,4,4,8,13,11,14,24,51,67,12,3,0,391
3,Areal,-22.2314922,-43.1056264,0,0,0,0,0,0,0,0,1,5,12,9,30,33,62,25,19,4,9,11,16,46,13,28,11,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,1,6,6,2,0,3,1,0,0,0,0,363
4,Armação dos Búzios,-22.7597805,-41.8875267,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,4,2,4,3,4,4,1,4,2,5,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47
5,Arraial do Cabo,-22.9662839,-42.024427,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,3,0,5,2,1,0,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,1,2,3,2,6,0,0,0,47
6,Barra do Piraí,-22.4703403,-43.8263256,14,16,15,11,22,8,21,45,91,63,73,139,138,105,58,87,100,81,38,26,27,35,16,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,2,4,0,0,0,1251
7,Barra Mansa,-22.5394843,-44.1735129,1,3,4,4,3,8,7,9,33,24,44,47,72,119,128,141,99,111,50,48,48,42,27,17,3,5,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,1110
8,Belford Roxo,-22.7667284,-43.4033603,0,1,1,0,2,2,0,0,3,6,3,0,2,11,2,2,5,9,12,11,15,4,9,7,6,3,1,4,2,2,3,3,1,2,0,2,2,0,1,3,1,2,1,0,3,1,4,6,11,8,0,0,179
9,Bom Jardim,-22.1515328,-42.4186683,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,6,2,9,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095,1,2,1,4,6,3,6,4,7,19,15,7,5,7,7,5,10,9,36,11,36,15,12,13,14,23,25,7,6,15,6,19,9,9,14,7,8,13,17,14,21,5,12,8,14,23,35,43,57,228,132,3,1028
11,Cabo Frio,-22.8804369,-42.0189227,5,2,7,1,4,1,1,3,5,10,6,2,6,5,1,7,5,16,9,15,5,5,4,6,13,2,3,3,3,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,3,0,0,0,0,172
12,Cachoeiras de Macacu,-22.4626861,-42.6534414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11
13,Cambuci,-21.5749919,-41.9107833,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,14
14,Carapebus,-22.2033,-41.6625,0,0,0,0,1,0,0,0,0,1,8,2,1,0,2,2,6,4,6,3,6,6,3,1,0,2,0,1,0,0,4,1,6,7,6,3,4,2,0,0,1,0,1,4,0,0,0,0,0,0,0,0,94
15,Comendador Levy Gasparian,-22.0427,-43.2083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Campos dos Goytacazes,-21.7545,-41.3244,11,6,14,9,19,18,25,19,26,38,46,40,50,59,55,102,109,127,92,87,98,114,109,126,141,125,140,190,183,169,167,144,111,89,95,113,79,83,87,42,34,21,12,10,7,4,5,5,6,1,1,0,3463
17,Cantagalo,-21.982,-42.3679,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
18,Cardoso Moreira,-21.488285,-41.7578,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,2,1,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,1,1,0,1,0,0,2,0,5,1,1,0,0,30
19,Carmo,-21.9239,-42.6149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,3,1,0,12
20,Casimiro de Abreu,-22.4849,-42.2013,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,1,1,3,0,2,1,1,5,5,7,7,5,4,4,5,2,2,2,2,2,3,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,78
21,Conceição de Macabu,-22.0849986,-41.8679947,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1,3,2,2,3,3,2,1,3,0,3,1,0,1,2,3,3,16,0,67
22,Cordeiro,-22.0287681,-42.3607442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,6,1,0,5,5,0,0,34
23,Duas Barras,-22.0522519,-42.5194705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Duque de Caxias,-22.7896225,-43.309929,0,0,0,2,3,4,2,1,2,3,3,1,9,7,5,4,12,2,7,11,8,20,21,15,15,3,7,11,12,7,2,4,4,8,3,2,3,1,7,6,5,4,1,2,1,2,6,2,3,3,0,0,266
25,Engenheiro Paulo de Frontin,-22.5504556,-43.6783403,0,0,0,0,0,0,0,0,0,2,3,4,5,4,8,12,4,8,8,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,69
26,Guapimirim,-22.5266308,-42.9790687,0,0,0,0,0,2,0,0,0,0,0,0,1,3,2,1,1,1,2,5,3,0,0,1,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,33
27,Iguaba Grande,-22.8388498,-42.2286746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,2,0,2,3,1,3,0,2,0,0,0,0,0,0,0,2,2,2,5,3,8,0,0,0,41
28,Itaboraí,-22.7496231,-42.8557428,3,5,10,3,13,7,12,6,13,17,26,36,26,27,43,35,43,48,50,41,27,24,26,13,10,15,10,10,4,5,4,5,3,4,3,0,2,2,1,1,0,2,1,6,9,6,19,26,1,1,0,0,704
29,Itaguaí,-22.8629597,-43.775322,0,1,0,2,3,0,1,1,0,1,1,4,4,8,25,14,29,9,19,8,12,9,18,10,3,8,7,4,7,6,3,2,1,3,1,0,3,2,4,1,0,0,1,2,2,1,1,2,2,3,0,0,248
30,Italva,-21.4214056,-41.6907956,0,0,0,1,0,0,0,0,1,3,4,0,3,8,2,1,2,1,1,2,2,0,1,0,0,3,1,1,1,1,2,1,1,4,5,1,2,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,62
31,Itaocara,-21.6725236,-42.0798658,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,15
32,Itaperuna,-21.2048,-41.88801,0,0,0,1,0,2,0,3,8,3,11,9,12,30,20,4,43,89,111,156,92,126,102,72,53,73,87,66,53,44,55,42,29,29,46,42,44,46,32,36,23,33,34,40,43,59,70,61,70,54,39,7,2204
33,Itatiaia,-22.4955278,-44.5633108,4,14,37,46,42,79,90,98,113,135,138,140,62,89,89,99,88,67,52,35,26,21,13,10,8,5,2,3,1,1,2,0,0,0,0,2,0,1,1,0,3,0,1,1,0,3,6,6,5,2,1,0,1641
34,Japeri,-22.6427642,-43.6533831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,10,7,5,0,7,18,14,4,0,0,78
35,Laje do Muriaé,-21.2082595,-42.1226959,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,4,5,36,19,5,9,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,95
36,Macaé,-22.3712958,-41.7866922,0,0,1,1,0,0,1,0,0,0,2,7,4,7,9,17,42,39,34,51,51,67,63,69,42,43,21,20,31,27,13,12,14,10,3,4,5,5,6,4,2,9,9,8,7,0,0,0,0,0,0,0,760
37,Macuco,-21.9849747,-42.2539464,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
